count,auc_roc_score,accuracy,subject,dataset,pipeline
0,0.02374335853598527,0.5642633228840125,1,Zhou2016,(1) epo-mdm-euc
1,0.9102541832807169,0.8369905956112853,1,Zhou2016,(4) epo-csp-lda
2,0.07764380037205497,0.6018808777429467,1,Zhou2016,(5) cov-knn-euc
3,0.5620579858669397,0.6896551724137931,1,Zhou2016,(6) cov-knn-rie
4,0.0,0.554858934169279,1,Zhou2016,(7) cov-mdm-euc
5,0.7389080106321609,0.670846394984326,1,Zhou2016,(8) cov-mdm-rie
6,0.8569420901379248,0.7962382445141066,1,Zhou2016,(9) cov-tgs-lda
7,0.30416666666666664,0.575,1,AlexMI,(1) epo-mdm-euc
8,0.5908333333333333,0.55,1,AlexMI,(4) epo-csp-lda
9,0.38875,0.6,1,AlexMI,(5) cov-knn-euc
10,0.6224999999999999,0.6,1,AlexMI,(6) cov-knn-rie
11,0.39083333333333337,0.525,1,AlexMI,(7) cov-mdm-euc
12,0.6308333333333334,0.65,1,AlexMI,(8) cov-mdm-rie
13,0.8983333333333334,0.825,1,AlexMI,(9) cov-tgs-lda
14,0.679804712005242,0.6180555555555556,1,BNCI2014004,(1) epo-mdm-euc
15,0.8126859861666791,0.725,1,BNCI2014004,(4) epo-csp-lda
16,0.520338111830606,0.5458333333333333,1,BNCI2014004,(5) cov-knn-euc
17,0.5221131177328922,0.5458333333333333,1,BNCI2014004,(6) cov-knn-rie
18,0.5285290908579259,0.5430555555555555,1,BNCI2014004,(7) cov-mdm-euc
19,0.5283555422986003,0.5166666666666667,1,BNCI2014004,(8) cov-mdm-rie
20,0.5210484766385343,0.5208333333333334,1,BNCI2014004,(9) cov-tgs-lda
21,0.40098416544648163,0.50625,1,BNCI2014002,(1) epo-mdm-euc
22,0.6009153377259995,0.59375,1,BNCI2014002,(4) epo-csp-lda
23,0.419085398363891,0.5375,1,BNCI2014002,(5) cov-knn-euc
24,0.5936702768228503,0.6,1,BNCI2014002,(6) cov-knn-rie
25,0.4169802608543417,0.54375,1,BNCI2014002,(7) cov-mdm-euc
26,0.5795111832611832,0.5625,1,BNCI2014002,(8) cov-mdm-rie
27,0.043200691261353015,0.51875,1,BNCI2014002,(9) cov-tgs-lda
28,0.0,0.51,1,BNCI2015001,(1) epo-mdm-euc
29,0.7111771651685744,0.675,1,BNCI2015001,(4) epo-csp-lda
30,0.016362477699687007,0.9025,1,BNCI2015001,(5) cov-knn-euc
31,0.10786436654773188,0.9675,1,BNCI2015001,(6) cov-knn-rie
32,0.0,0.5125,1,BNCI2015001,(7) cov-mdm-euc
33,0.9596935848805487,0.905,1,BNCI2015001,(8) cov-mdm-rie
34,0.8683975782546908,0.98,1,BNCI2015001,(9) cov-tgs-lda
35,0.0,0.51875,1,Weibo2014,(1) epo-mdm-euc
36,0.5480113374381467,0.54375,1,Weibo2014,(4) epo-csp-lda
37,0.0,0.51875,1,Weibo2014,(5) cov-knn-euc
38,0.5785436618388922,0.56875,1,Weibo2014,(6) cov-knn-rie
39,0.0,0.51875,1,Weibo2014,(7) cov-mdm-euc
40,0.44274927101407363,0.51875,1,Weibo2014,(8) cov-mdm-rie
41,0.5413476339084892,0.5875,1,Weibo2014,(9) cov-tgs-lda
