,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5151,0.3423431,200.0,1,session_A,13,2,001-2015,(1) epo-mdm-euc
1,0.5,0.16950202,200.0,1,session_B,13,2,001-2015,(1) epo-mdm-euc
2,0.5261,0.26656222,200.0,2,session_A,13,2,001-2015,(1) epo-mdm-euc
3,0.51745,0.22939897,200.0,2,session_B,13,2,001-2015,(1) epo-mdm-euc
4,0.55975,0.1761086,200.0,3,session_A,13,2,001-2015,(1) epo-mdm-euc
5,0.48395,0.19664598,200.0,3,session_B,13,2,001-2015,(1) epo-mdm-euc
6,0.55045,0.17133713,200.0,4,session_A,13,2,001-2015,(1) epo-mdm-euc
7,0.50495,0.20597339,200.0,4,session_B,13,2,001-2015,(1) epo-mdm-euc
8,0.5825,0.035772085,600.0,1,session_0,3,5,004-2014,(1) epo-mdm-euc
9,0.6251389,0.04633832,600.0,1,session_1,3,5,004-2014,(1) epo-mdm-euc
10,0.55421877,0.06918836,560.0,1,session_2,3,5,004-2014,(1) epo-mdm-euc
11,0.5595313,0.064486265,560.0,1,session_3,3,5,004-2014,(1) epo-mdm-euc
12,0.55476564,0.04068923,560.0,1,session_4,3,5,004-2014,(1) epo-mdm-euc
13,0.49444443,0.027779102,560.0,2,session_0,3,5,004-2014,(1) epo-mdm-euc
14,0.53555554,0.027199507,560.0,2,session_1,3,5,004-2014,(1) epo-mdm-euc
15,0.5350781,0.033474922,520.0,2,session_2,3,5,004-2014,(1) epo-mdm-euc
16,0.52694446,0.033439636,560.0,2,session_3,3,5,004-2014,(1) epo-mdm-euc
17,0.469375,0.038265944,520.0,2,session_4,3,5,004-2014,(1) epo-mdm-euc
18,0.55722225,0.028331041,600.0,3,session_0,3,5,004-2014,(1) epo-mdm-euc
19,0.49180555,0.052143574,600.0,3,session_1,3,5,004-2014,(1) epo-mdm-euc
20,0.6215625,0.050006628,560.0,3,session_2,3,5,004-2014,(1) epo-mdm-euc
21,0.5640625,0.03988123,560.0,3,session_3,3,5,004-2014,(1) epo-mdm-euc
22,0.58140624,0.044338465,560.0,3,session_4,3,5,004-2014,(1) epo-mdm-euc
23,0.4613889,0.030846834,620.0,4,session_0,3,5,004-2014,(1) epo-mdm-euc
24,0.52765304,0.037636757,600.0,4,session_1,3,5,004-2014,(1) epo-mdm-euc
25,0.51554686,0.05768943,580.0,4,session_2,3,5,004-2014,(1) epo-mdm-euc
26,0.49578124,0.051361322,580.0,4,session_3,3,5,004-2014,(1) epo-mdm-euc
27,0.436875,0.05411172,580.0,4,session_4,3,5,004-2014,(1) epo-mdm-euc
28,0.48672315,0.04515767,200.0,1,session_0,14,3,Zhou 2016,(1) epo-mdm-euc
29,0.516,0.08649278,219.0,1,session_1,14,3,Zhou 2016,(1) epo-mdm-euc
30,0.5508,0.10208845,219.0,1,session_2,14,3,Zhou 2016,(1) epo-mdm-euc
31,0.508,0.090605736,190.0,2,session_0,14,3,Zhou 2016,(1) epo-mdm-euc
32,0.5222222,0.12829089,200.0,2,session_1,14,3,Zhou 2016,(1) epo-mdm-euc
33,0.5276,0.1668396,190.0,2,session_2,14,3,Zhou 2016,(1) epo-mdm-euc
34,0.5302,0.065867186,200.0,3,session_0,14,3,Zhou 2016,(1) epo-mdm-euc
35,0.4804,0.059951067,200.0,3,session_1,14,3,Zhou 2016,(1) epo-mdm-euc
36,0.4944,0.07791376,200.0,3,session_2,14,3,Zhou 2016,(1) epo-mdm-euc
37,0.45925927,0.09167504,200.0,4,session_0,14,3,Zhou 2016,(1) epo-mdm-euc
38,0.48,0.12283087,190.0,4,session_1,14,3,Zhou 2016,(1) epo-mdm-euc
39,0.4794,0.12327361,190.0,4,session_2,14,3,Zhou 2016,(1) epo-mdm-euc
40,0.495,0.15219712,200.0,1,session_A,13,2,001-2015,(7) cov-mdm-euc
41,0.495,0.1892569,200.0,1,session_B,13,2,001-2015,(7) cov-mdm-euc
42,0.5,0.15547585,200.0,2,session_A,13,2,001-2015,(7) cov-mdm-euc
43,0.6981,0.1876316,200.0,2,session_B,13,2,001-2015,(7) cov-mdm-euc
44,0.59685,0.14934087,200.0,3,session_A,13,2,001-2015,(7) cov-mdm-euc
45,0.83285,0.20175147,200.0,3,session_B,13,2,001-2015,(7) cov-mdm-euc
46,0.594,0.30401087,200.0,4,session_A,13,2,001-2015,(7) cov-mdm-euc
47,0.7176,0.24381065,200.0,4,session_B,13,2,001-2015,(7) cov-mdm-euc
48,0.8063889,0.074456215,600.0,1,session_0,3,5,004-2014,(7) cov-mdm-euc
49,0.6402778,0.086811066,600.0,1,session_1,3,5,004-2014,(7) cov-mdm-euc
50,0.82875,0.09603453,560.0,1,session_2,3,5,004-2014,(7) cov-mdm-euc
51,0.7665625,0.09642887,560.0,1,session_3,3,5,004-2014,(7) cov-mdm-euc
52,0.63203126,0.102090836,560.0,1,session_4,3,5,004-2014,(7) cov-mdm-euc
53,0.6691667,0.072586775,560.0,2,session_0,3,5,004-2014,(7) cov-mdm-euc
54,0.63277775,0.09997082,560.0,2,session_1,3,5,004-2014,(7) cov-mdm-euc
55,0.52265626,0.096254826,520.0,2,session_2,3,5,004-2014,(7) cov-mdm-euc
56,0.6105555,0.09091759,560.0,2,session_3,3,5,004-2014,(7) cov-mdm-euc
57,0.5946875,0.09755254,520.0,2,session_4,3,5,004-2014,(7) cov-mdm-euc
58,0.5327778,0.07315898,600.0,3,session_0,3,5,004-2014,(7) cov-mdm-euc
59,0.49333334,0.1021781,600.0,3,session_1,3,5,004-2014,(7) cov-mdm-euc
60,0.515625,0.09671712,560.0,3,session_2,3,5,004-2014,(7) cov-mdm-euc
61,0.48625,0.0991261,560.0,3,session_3,3,5,004-2014,(7) cov-mdm-euc
62,0.62921876,0.099420786,560.0,3,session_4,3,5,004-2014,(7) cov-mdm-euc
63,0.8397222,0.09689808,620.0,4,session_0,3,5,004-2014,(7) cov-mdm-euc
64,0.9053061,0.101041794,600.0,4,session_1,3,5,004-2014,(7) cov-mdm-euc
65,0.98390627,0.104055166,580.0,4,session_2,3,5,004-2014,(7) cov-mdm-euc
66,0.98796874,0.10810971,580.0,4,session_3,3,5,004-2014,(7) cov-mdm-euc
67,0.9710938,0.10070562,580.0,4,session_4,3,5,004-2014,(7) cov-mdm-euc
68,0.5083333,0.078395605,200.0,1,session_0,14,3,Zhou 2016,(7) cov-mdm-euc
69,0.5598,0.11630225,219.0,1,session_1,14,3,Zhou 2016,(7) cov-mdm-euc
70,0.6092,0.12662649,219.0,1,session_2,14,3,Zhou 2016,(7) cov-mdm-euc
71,0.5,0.07392788,190.0,2,session_0,14,3,Zhou 2016,(7) cov-mdm-euc
72,0.5,0.10194564,200.0,2,session_1,14,3,Zhou 2016,(7) cov-mdm-euc
73,0.5,0.12484884,190.0,2,session_2,14,3,Zhou 2016,(7) cov-mdm-euc
74,0.5548,0.07015681,200.0,3,session_0,14,3,Zhou 2016,(7) cov-mdm-euc
75,0.6942,0.113981724,200.0,3,session_1,14,3,Zhou 2016,(7) cov-mdm-euc
76,0.54,0.1302638,200.0,3,session_2,14,3,Zhou 2016,(7) cov-mdm-euc
77,0.7111111,0.070690155,200.0,4,session_0,14,3,Zhou 2016,(7) cov-mdm-euc
78,0.5458,0.11452842,190.0,4,session_1,14,3,Zhou 2016,(7) cov-mdm-euc
79,0.5096,0.111588955,190.0,4,session_2,14,3,Zhou 2016,(7) cov-mdm-euc
80,0.9898,2.01266,200.0,1,session_A,13,2,001-2015,(4) epo-csp-lda
81,0.998,1.9361405,200.0,1,session_B,13,2,001-2015,(4) epo-csp-lda
82,0.987,1.9949672,200.0,2,session_A,13,2,001-2015,(4) epo-csp-lda
83,0.9822,1.9379287,200.0,2,session_B,13,2,001-2015,(4) epo-csp-lda
